set_name,visible_name,release_year,set_metadata_total_cards,stored_printed_denominator,reference_printed_denominator,bulbapedia_name,total_imported_card_rows,affected_card_rows,unique_numerators,max_numerator,sample_current_display,sample_proposed_display,sample_current_display_max,sample_proposed_display_max,reference_source,status,notes
Japanese Crimson Haze,Crimson Haze,2024,71,71,66,,98,96,96,96,1/71,1/66,96/71,96/66,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /71 but authoritative printed base is /66. Would rewrite 96 card rows.
Japanese Mega Brave,Mega Brave,2024,92,92,63,,96,92,92,92,1/92,1/63,92/92,92/63,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /92 but authoritative printed base is /63. Would rewrite 92 card rows.
Japanese Mega Dream ex,Mega Dream ex,2024,250,250,193,,489,487,250,250,1/250,1/193,250/250,250/193,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /250 but authoritative printed base is /193. Would rewrite 487 card rows.
Japanese Mega Symphonia,Mega Symphonia,2024,92,92,63,,95,92,92,92,1/92,1/63,92/92,92/63,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /92 but authoritative printed base is /63. Would rewrite 92 card rows.
Japanese Night Wanderer,Night Wanderer,2024,66,66,64,,97,95,94,94,1/66,1/64,94/66,94/64,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /66 but authoritative printed base is /64. Would rewrite 95 card rows.
Japanese Stellar Miracle,Stellar Miracle,2024,100,100,102,,137,135,135,135,1/100,1/102,135/100,135/102,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /100 but authoritative printed base is /102. Would rewrite 135 card rows.
Japanese Super Electric Breaker,Super Electric Breaker,2024,71,71,106,,141,139,138,138,1/71,1/106,138/71,138/106,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /71 but authoritative printed base is /106. Would rewrite 139 card rows.
Japanese Paradise Dragona,Paradise Dragona,2023,63,63,64,,96,94,94,94,1/63,1/64,94/63,94/64,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /63 but authoritative printed base is /64. Would rewrite 94 card rows.
Japanese VSTAR Universe,VSTAR Universe,2022,262,262,172,,355,351,262,262,1/262,1/172,262/262,262/172,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /262 but authoritative printed base is /172. Would rewrite 351 card rows.
Japanese Battle Region,Battle Region,2022,70,70,67,,137,135,93,93,1/70,1/67,93/70,93/67,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /70 but authoritative printed base is /67. Would rewrite 135 card rows.
Japanese Paradigm Trigger,Paradigm Trigger,2022,100,100,98,,129,126,125,125,1/100,1/98,125/100,125/98,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /100 but authoritative printed base is /98. Would rewrite 126 card rows.
Japanese Remix Bout,Remix Bout,2019,70,70,64,,81,79,79,80,1/70,1/64,80/70,80/64,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /70 but authoritative printed base is /64. Would rewrite 79 card rows.
Japanese Super-Burst Impact,Super-Burst Impact,2018,94,94,95,,114,111,111,111,1/94,1/95,111/94,111/95,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /94 but authoritative printed base is /95. Would rewrite 111 card rows.
Japanese Awakening Psychic King,Awakening Psychic King,2017,51,51,78,,178,176,88,88,1/51,1/78,88/51,88/78,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /51 but authoritative printed base is /78. Would rewrite 176 card rows.
Japanese GX Battle Boost,GX Battle Boost,2017,125,125,114,,128,126,125,125,1/125,1/114,125/125,125/114,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /125 but authoritative printed base is /114. Would rewrite 126 card rows.
Japanese Bandit Ring,Bandit Ring,2015,84,84,81,,196,194,97,97,1/84,1/81,97/84,97/81,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /84 but authoritative printed base is /81. Would rewrite 194 card rows.
Japanese Wild Blaze,Wild Blaze,2014,90,90,80,,181,179,90,90,1/90,1/80,90/90,90/80,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /90 but authoritative printed base is /80. Would rewrite 179 card rows.
Japanese EX Battle Boost,EX Battle Boost,2014,99,99,93,,226,224,99,99,1/99,1/93,99/99,99/93,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /99 but authoritative printed base is /93. Would rewrite 224 card rows.
Japanese Rising Fist,Rising Fist,2014,88,88,96,,212,210,105,105,1/88,1/96,105/88,105/96,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /88 but authoritative printed base is /96. Would rewrite 210 card rows.
Japanese Megalo Cannon,Megalo Cannon,2013,86,86,76,,174,172,86,86,1/86,1/76,86/86,86/76,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /86 but authoritative printed base is /76. Would rewrite 172 card rows.
Japanese Plasma Gale,Plasma Gale,2013,79,79,70,,160,158,79,79,1/79,1/70,79/79,79/70,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /79 but authoritative printed base is /70. Would rewrite 158 card rows.
Japanese Cold Flare,Cold Flare,2012,65,65,59,,132,130,65,65,1/65,1/59,65/65,65/59,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /65 but authoritative printed base is /59. Would rewrite 130 card rows.
Japanese Rocket Gang Strikes Back,Rocket Gang Strikes Back,2004,85,85,84,,169,167,84,85,1/85,1/84,85/85,85/84,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /85 but authoritative printed base is /84. Would rewrite 167 card rows.
Japanese Ninja Spinner,Ninja Spinner,2003,120,120,83,,122,120,120,120,1/120,1/83,120/120,120/83,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /120 but authoritative printed base is /83. Would rewrite 120 card rows.
Japanese Wind from the Sea,Wind from the Sea,2002,90,90,87,,183,180,90,90,1/90,1/87,90/90,90/87,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /90 but authoritative printed base is /87. Would rewrite 180 card rows.
Japanese 2002 McDonald's,2002 McDonald's,2002,18,18,30,McDonald's Original Minimum Pack,31,18,18,18,1/18,1/30,18/18,18/30,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /18 but authoritative printed base is /30. Would rewrite 18 card rows.
Japanese Red Flash,Red Flash,2000,65,65,59,,132,129,65,65,1/65,1/59,65/65,65/59,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /65 but authoritative printed base is /59. Would rewrite 129 card rows.
Japanese Reviving Legends,Reviving Legends,2000,81,81,80,,189,187,81,81,1/81,1/80,81/81,81/80,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /81 but authoritative printed base is /80. Would rewrite 187 card rows.
Japanese Split Earth,Split Earth,2000,91,91,88,,185,182,91,91,1/91,1/88,91/91,91/88,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /91 but authoritative printed base is /88. Would rewrite 182 card rows.
Japanese Start Deck 100 Battle Collection,Start Deck 100 Battle Collection,2024,,,,,1533,0,766,766,,,,,,NOT_APPLICABLE,"Set does not use N/M printed numbering (promo aggregate, Carddass, Vending, Meiji, Topsun, CD Promo, McDonald's promos, ex Starter Decks or Old Maid)."
Japanese ex Starter Decks,ex Starter Decks,2023,139,139,,,141,0,139,139,1/139,,139/139,,,NOT_APPLICABLE,"Set does not use N/M printed numbering (promo aggregate, Carddass, Vending, Meiji, Topsun, CD Promo, McDonald's promos, ex Starter Decks or Old Maid)."
Japanese Start Deck 100,Start Deck 100,2022,,,,,422,0,419,422,,,,,,NOT_APPLICABLE,"Set does not use N/M printed numbering (promo aggregate, Carddass, Vending, Meiji, Topsun, CD Promo, McDonald's promos, ex Starter Decks or Old Maid)."
Japanese CD Promo,CD Promo,2000,151,151,,,14,0,10,151,3/151,,151/151,,,NOT_APPLICABLE,"Set does not use N/M printed numbering (promo aggregate, Carddass, Vending, Meiji, Topsun, CD Promo, McDonald's promos, ex Starter Decks or Old Maid)."
Japanese Old Maid,Old Maid,2000,,,,,42,0,0,,,,,,,NOT_APPLICABLE,"Set does not use N/M printed numbering (promo aggregate, Carddass, Vending, Meiji, Topsun, CD Promo, McDonald's promos, ex Starter Decks or Old Maid)."
Japanese Neo Premium File,Neo Premium File,2000,251,251,,,30,0,24,251,6/251,,251/251,,,NOT_APPLICABLE,"Set does not use N/M printed numbering (promo aggregate, Carddass, Vending, Meiji, Topsun, CD Promo, McDonald's promos, ex Starter Decks or Old Maid)."
Japanese Meiji Promo,Meiji Promo,2000,142,142,,,118,0,52,142,0/142,,142/142,,,NOT_APPLICABLE,"Set does not use N/M printed numbering (promo aggregate, Carddass, Vending, Meiji, Topsun, CD Promo, McDonald's promos, ex Starter Decks or Old Maid)."
Japanese Promo,Promo,2000,,,,,1431,0,63,659614,,,,,,NOT_APPLICABLE,"Set does not use N/M printed numbering (promo aggregate, Carddass, Vending, Meiji, Topsun, CD Promo, McDonald's promos, ex Starter Decks or Old Maid)."
Japanese 1999 Merlin,1999 Merlin,1999,240,240,,,211,0,172,240,1/240,,240/240,,,NOT_APPLICABLE,"Set does not use N/M printed numbering (promo aggregate, Carddass, Vending, Meiji, Topsun, CD Promo, McDonald's promos, ex Starter Decks or Old Maid)."
Japanese Vending,Vending,1998,,,,,154,0,108,1201,,,,,,NOT_APPLICABLE,"Set does not use N/M printed numbering (promo aggregate, Carddass, Vending, Meiji, Topsun, CD Promo, McDonald's promos, ex Starter Decks or Old Maid)."
Japanese 1998 Carddass,1998 Carddass,1998,275,275,,,167,0,130,275,1/275,,275/275,,,NOT_APPLICABLE,"Set does not use N/M printed numbering (promo aggregate, Carddass, Vending, Meiji, Topsun, CD Promo, McDonald's promos, ex Starter Decks or Old Maid)."
Japanese 1997 Carddass,1997 Carddass,1997,151,151,,,166,0,151,151,1/151,,151/151,,,NOT_APPLICABLE,"Set does not use N/M printed numbering (promo aggregate, Carddass, Vending, Meiji, Topsun, CD Promo, McDonald's promos, ex Starter Decks or Old Maid)."
Japanese Topsun,Topsun,1997,248,248,,,390,0,158,248,1/248,,248/248,,,NOT_APPLICABLE,"Set does not use N/M printed numbering (promo aggregate, Carddass, Vending, Meiji, Topsun, CD Promo, McDonald's promos, ex Starter Decks or Old Maid)."
Japanese 1996 Carddass,1996 Carddass,1996,156,156,,,309,0,157,156,0/156,,156/156,,,NOT_APPLICABLE,"Set does not use N/M printed numbering (promo aggregate, Carddass, Vending, Meiji, Topsun, CD Promo, McDonald's promos, ex Starter Decks or Old Maid)."
Japanese Heat Wave Arena,Heat Wave Arena,2024,92,92,,,94,0,92,92,1/92,,92/92,,,AMBIGUOUS_MAPPING,"DB stored /92 with max_num 92; nearest Bulbapedia entry ""Hot Wind Arena"" = 63. Discrepancy: could be different set or aggregate."
Japanese Mask of Change,Mask of Change,2024,66,66,,,136,0,133,133,1/66,,133/66,,,AMBIGUOUS_MAPPING,"DB stored /66 with max_num 133; nearest Bulbapedia entry ""Transformation Mask"" = 101. Discrepancy."
Japanese Violet Ex,Violet Ex,2023,108,108,,,110,0,108,108,1/108,,108/108,,,AMBIGUOUS_MAPPING,"DB stored /108 with max_num 108; Bulbapedia ""Violet ex"" = 78. Likely aggregate of SV1a + SV2a or includes variants."
Japanese Scarlet Ex,Scarlet Ex,2023,108,108,,,110,0,108,108,1/108,,108/108,,,AMBIGUOUS_MAPPING,"DB stored /108 with max_num 108; Bulbapedia ""Scarlet ex"" = 78. Likely aggregate of SV1a + SV2a or includes variants."
Japanese Space-Time,Space-Time,2022,,,,,235,0,2,453,,,,,,AMBIGUOUS_MAPPING,"DB has no stored denom, max_num 453. Bulbapedia splits into Diamond Collection (117) + Pearl Collection (119). PokePrices may be aggregating; likely needs a set-split before printed base can be assigned."
Japanese Temple of Anger,Temple of Anger,2008,,,,,133,0,4,446,,,,,,AMBIGUOUS_MAPPING,"DB has no stored denom, max_num 446. Bulbapedia Temple of Anger = 65. PokePrices likely aggregates additional sets."
Japanese Shining Darkness,Shining Darkness,2007,,,,,226,0,6,488,,,,,,AMBIGUOUS_MAPPING,"DB has no stored denom, max_num 488. Bulbapedia Shining Darkness = 119. PokePrices likely aggregates additional sets."
Japanese VS,VS,2001,142,142,,,169,0,142,142,1/142,,142/142,,,AMBIGUOUS_MAPPING,DB stored /142 max 142 vs Bulbapedia Pokémon Card★VS = 141. 1-card discrepancy — could be a single-card catalogue variant.
Japanese Jungle,Jungle,1997,143,143,,,51,0,47,143,12/143,,143/143,,,AMBIGUOUS_MAPPING,DB stored /143 max 143 vs Bulbapedia Pokémon Jungle = 48. Massive discrepancy — PokePrices data appears to aggregate later Neo-era reprints or includes multiple original prints.
Japanese Battle Partners,Battle Partners,2025,130,100,100,,138,0,132,132,1/100,1/100,132/100,132/100,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Offense and Defense of the Furthest Ends,Offense and Defense of the Furthest Ends,2025,68,68,68,,136,0,68,68,1/68,1/68,68/68,68/68,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Undone Seal,Undone Seal,2025,83,83,83,,165,0,83,83,1/83,1/83,83/83,83/83,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Cyber Judge,Cyber Judge,2024,71,71,71,,102,0,100,100,1/71,1/71,100/71,100/71,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Terastal Festival,Terastal Festival,2024,128,187,187,,485,0,237,237,1/187,1/187,237/187,237/187,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Ancient Roar,Ancient Roar,2023,66,66,66,,97,0,95,95,1/66,1/66,95/66,95/66,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Clay Burst,Clay Burst,2023,71,71,71,,101,0,99,99,1/71,1/71,99/71,99/71,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Future Flash,Future Flash,2023,66,66,66,,97,0,95,95,1/66,1/66,95/66,95/66,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Raging Surf,Raging Surf,2023,62,62,62,,94,0,92,92,1/62,1/62,92/62,92/62,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Ruler of the Black Flame,Ruler of the Black Flame,2023,108,108,108,,143,0,141,141,1/108,1/108,141/108,141/108,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Scarlet & Violet 151,Scarlet & Violet 151,2023,165,165,165,Pokémon Card 151,520,0,210,210,1/165,1/165,210/165,210/165,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Shiny Treasure ex,Shiny Treasure ex,2023,190,190,190,,486,0,360,360,1/190,1/190,360/190,360/190,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Snow Hazard,Snow Hazard,2023,71,71,71,,102,0,99,99,1/71,1/71,99/71,99/71,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Triplet Beat,Triplet Beat,2023,73,73,73,,105,0,103,103,1/73,1/73,103/73,103/73,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Dark Phantasma,Dark Phantasma,2022,71,71,71,,178,0,99,99,1/71,1/71,99/71,99/71,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Go,Go,2022,71,71,71,Pokémon GO,114,0,90,92,1/71,1/71,92/71,92/71,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Lost Abyss,Lost Abyss,2022,100,100,100,,129,0,127,127,1/100,1/100,127/100,127/100,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Incandescent Arcana,Incandescent Arcana,2022,68,68,68,,157,0,94,94,1/68,1/68,94/68,94/68,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Star Birth,Star Birth,2022,100,100,100,,129,0,127,127,1/100,1/100,127/100,127/100,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese 25th Anniversary Collection,25th Anniversary Collection,2021,28,28,28,,61,0,30,30,1/28,1/28,30/28,30/28,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese 25th Anniversary Promo,25th Anniversary Promo,2021,25,25,25,Promo Card Pack 25th Anniversary Edition,26,0,25,25,1/25,1/25,25/25,25/25,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Blue Sky Stream,Blue Sky Stream,2021,67,67,67,,92,0,90,90,1/67,1/67,90/67,90/67,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Eevee Heroes,Eevee Heroes,2021,69,69,69,,105,0,101,101,1/69,1/69,101/69,101/69,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Fusion Arts,Fusion Arts,2021,100,100,100,,131,0,129,129,1/100,1/100,129/100,129/100,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese VMAX Climax,VMAX Climax,2021,184,184,184,,341,0,285,285,1/184,1/184,285/184,285/184,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Amazing Volt Tackle,Amazing Volt Tackle,2020,100,100,100,,123,0,121,121,1/100,1/100,121/100,121/100,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Shiny Star V,Shiny Star V,2020,190,190,190,,340,0,330,330,1/190,1/190,330/190,330/190,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Alter Genesis,Alter Genesis,2019,95,95,95,,120,0,117,117,1/95,1/95,117/95,117/95,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Double Blaze,Double Blaze,2019,95,95,95,,118,0,116,116,1/95,1/95,116/95,116/95,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Dream League,Dream League,2019,49,49,49,,77,0,75,75,1/49,1/49,75/49,75/49,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Miracle Twins,Miracle Twins,2019,94,94,94,Miracle Twin,117,0,115,115,1/94,1/94,115/94,115/94,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Tag All Stars,Tag All Stars,2019,173,173,173,,362,0,225,226,1/173,1/173,226/173,226/173,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese GX Ultra Shiny,GX Ultra Shiny,2018,150,150,150,,285,0,250,250,1/150,1/150,250/150,250/150,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Tag Bolt,Tag Bolt,2018,95,95,95,,121,0,118,118,1/95,1/95,118/95,118/95,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Shining Legends,Shining Legends,2017,72,72,72,,84,0,82,82,1/72,1/72,82/72,82/72,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese 20th Anniversary,20th Anniversary,2016,87,87,87,Expansion Pack 20th Anniversary,106,0,103,103,1/87,1/87,103/87,103/87,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Best of XY,Best of XY,2016,171,171,171,THE BEST OF XY,226,0,188,188,1/171,1/171,188/171,188/171,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Emerald Break,Emerald Break,2015,78,78,78,,184,0,91,91,1/78,1/78,91/78,91/78,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Gaia Volcano,Gaia Volcano,2015,70,70,70,,163,0,80,80,1/70,1/70,80/70,80/70,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Phantom Gate,Phantom Gate,2014,88,88,88,,196,0,97,97,1/88,1/88,97/88,97/88,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese PokeKyun Collection,PokeKyun Collection,2014,32,32,32,PokéKyun Collection,34,0,32,32,1/32,1/32,32/32,32/32,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Clash of the Blue Sky,Clash of the Blue Sky,2010,82,82,82,,166,0,82,82,1/82,1/82,82/82,82/82,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Advent of Arceus,Advent of Arceus,2009,90,90,90,,180,0,89,90,1/90,1/90,90/90,90/90,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Beat of the Frontier,Beat of the Frontier,2009,100,100,100,,202,0,100,100,1/100,1/100,100/100,100/100,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Intense Fight in the Destroyed Sky,Intense Fight in the Destroyed Sky,2009,92,92,92,,180,0,89,92,1/92,1/92,92/92,92/92,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Bonds to the End of Time,Bonds to the End of Time,2008,90,90,90,,179,0,88,90,1/90,1/90,90/90,90/90,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese World Champions Pack,World Champions Pack,2007,108,108,108,,213,0,108,108,1/108,1/108,108/108,108/108,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Holon Research,Holon Research,2005,86,86,86,Holon Research Tower,181,0,86,86,1/86,1/86,86/86,86/86,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Flight of Legends,Flight of Legends,2004,82,82,82,,164,0,81,82,1/82,1/82,82/82,82/82,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Magma VS Aqua Two Ambitions,Magma VS Aqua Two Ambitions,2003,80,80,80,Magma VS Aqua: Two Ambitions,162,0,80,80,1/80,1/80,80/80,80/80,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Miracle Crystal,Miracle Crystal,2003,75,75,75,,150,0,75,75,1/75,1/75,75/75,75/75,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
"Japanese Golden Sky, Silvery Ocean","Golden Sky, Silvery Ocean",2003,106,106,106,,215,0,106,106,1/106,1/106,106/106,106/106,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Rulers of the Heavens,Rulers of the Heavens,2002,54,54,54,,110,0,54,54,1/54,1/54,54/54,54/54,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese The Town on No Map,The Town on No Map,2002,92,92,92,,186,0,92,92,1/92,1/92,92/92,92/92,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Web,Web,2001,48,48,48,Pokémon Card★web,96,0,48,48,1/48,1/48,48/48,48/48,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
Japanese Expedition Expansion Pack,Expedition Expansion Pack,2001,128,128,128,Base Expansion Pack,259,0,127,128,1/128,1/128,128/128,128/128,bulbapedia_luke_2026-08-04,CONFIRMED_MATCH,
